,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
0,6485892c695bcbba5c236eeb,10000,100000,9932,39481,7.949505715306016,648588fa695bcbba5c236ed3
1,6485892d695bcbba5c236eed,10000,200000,9991,59712,11.952636487250839,648588fa695bcbba5c236ed3
2,6485892e695bcbba5c236eef,10000,300000,9998,74423,14.88765796589351,648588fa695bcbba5c236ed3
3,64858930695bcbba5c236ef1,10000,400000,9999,86185,17.23873504752376,648588fa695bcbba5c236ed3
4,64858931695bcbba5c236ef3,10000,500000,10000,93115,18.623458385838585,648588fa695bcbba5c236ed3
5,64858933695bcbba5c236ef5,10000,600000,10000,106765,21.35304,648588fa695bcbba5c236ed3
6,64858934695bcbba5c236ef7,10000,700000,10000,116691,23.338627770777077,648588fa695bcbba5c236ed3
7,64858936695bcbba5c236ef9,10000,800000,10000,122711,24.542279999999998,648588fa695bcbba5c236ed3
8,64858938695bcbba5c236efb,10000,900000,10000,132207,26.441399999999998,648588fa695bcbba5c236ed3
9,6485892b695bcbba5c236ee9,10000,1000000,10000,137696,27.539689132913292,648588fa695bcbba5c236ed3
10,6485893b695bcbba5c236eff,20000,100000,19334,52499,5.430442836458823,648588fa695bcbba5c236ed3
11,6485893d695bcbba5c236f01,20000,200000,19904,81473,8.186497666897317,648588fa695bcbba5c236ed3
12,6485893f695bcbba5c236f03,20000,300000,19968,103697,10.386120916146286,648588fa695bcbba5c236ed3
13,64858940695bcbba5c236f05,20000,400000,19982,116940,11.704395465028615,648588fa695bcbba5c236ed3
14,64858942695bcbba5c236f07,20000,500000,19995,134228,13.426309705093669,648588fa695bcbba5c236ed3
15,64858944695bcbba5c236f09,20000,600000,19996,144919,14.494493090184822,648588fa695bcbba5c236ed3
16,64858946695bcbba5c236f0b,20000,700000,19998,164190,16.420318036080154,648588fa695bcbba5c236ed3
17,64858948695bcbba5c236f0d,20000,800000,19998,174274,17.42918168955424,648588fa695bcbba5c236ed3
18,6485894b695bcbba5c236f0f,20000,900000,19999,186585,18.659096221094984,648588fa695bcbba5c236ed3
19,6485893a695bcbba5c236efd,20000,1000000,19999,193735,19.37490385281899,648588fa695bcbba5c236ed3
20,6485894f695bcbba5c236f13,30000,100000,27477,58949,4.2902336912180115,648588fa695bcbba5c236ed3
21,64858951695bcbba5c236f15,30000,200000,29440,92833,6.305750479175012,648588fa695bcbba5c236ed3
22,64858953695bcbba5c236f17,30000,300000,29832,121552,8.148650023428207,648588fa695bcbba5c236ed3
23,64858955695bcbba5c236f19,30000,400000,29927,143590,9.59588003952839,648588fa695bcbba5c236ed3
24,64858958695bcbba5c236f1b,30000,500000,29962,162425,10.841851977667282,648588fa695bcbba5c236ed3
25,6485895a695bcbba5c236f1d,30000,600000,29979,178596,11.914558051757265,648588fa695bcbba5c236ed3
26,6485895d695bcbba5c236f1f,30000,700000,29981,189308,12.628566358669111,648588fa695bcbba5c236ed3
27,64858961695bcbba5c236f21,30000,800000,29992,205855,13.727462709277642,648588fa695bcbba5c236ed3
28,64858964695bcbba5c236f23,30000,900000,29996,222527,14.837242008594282,648588fa695bcbba5c236ed3
29,6485894e695bcbba5c236f11,30000,1000000,29997,239555,15.971701371750617,648588fa695bcbba5c236ed3
30,6485896a695bcbba5c236f27,40000,100000,34713,63836,3.677475915012811,648588fa695bcbba5c236ed3
31,6485896b695bcbba5c236f29,40000,200000,38546,103272,5.357436518946108,648588fa695bcbba5c236ed3
32,6485896e695bcbba5c236f2b,40000,300000,39483,135529,6.8651188645316354,648588fa695bcbba5c236ed3
