,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
0,64775bb588932c4e065e3082,10000,100000,9883,18178,3.6785728566156415,64775ba188932c4e065e306a
1,64775bb688932c4e065e3084,10000,200000,9968,20709,4.155138930086813,64775ba188932c4e065e306a
2,64775bb688932c4e065e3086,10000,300000,9986,21941,4.394185832106315,64775ba188932c4e065e306a
3,64775bb688932c4e065e3088,10000,400000,9994,22518,4.506523101356243,64775ba188932c4e065e306a
4,64775bb688932c4e065e308a,10000,500000,9996,23413,4.684459926559573,64775ba188932c4e065e306a
5,64775bb788932c4e065e308c,10000,600000,9997,22856,4.5725654434123,64775ba188932c4e065e306a
6,64775bb788932c4e065e308e,10000,700000,9998,23043,4.6094677555678745,64775ba188932c4e065e306a
7,64775bb888932c4e065e3090,10000,800000,9999,23615,4.723609286197801,64775ba188932c4e065e306a
8,64775bb888932c4e065e3092,10000,900000,9999,23789,4.758223806952009,64775ba188932c4e065e306a
9,64775bb588932c4e065e3080,10000,1000000,10000,24066,4.813431219121912,64775ba188932c4e065e306a
10,64775bb988932c4e065e3096,20000,100000,18901,29073,3.0758188923652137,64775ba188932c4e065e306a
11,64775bb988932c4e065e3098,20000,200000,19687,35431,3.599048673585184,64775ba188932c4e065e306a
12,64775bba88932c4e065e309a,20000,300000,19867,39038,3.9297970601924277,64775ba188932c4e065e306a
13,64775bbb88932c4e065e309c,20000,400000,19931,40742,4.088241832340192,64775ba188932c4e065e306a
14,64775bbb88932c4e065e309e,20000,500000,19958,42292,4.238111085455874,64775ba188932c4e065e306a
15,64775bbc88932c4e065e30a0,20000,600000,19965,43536,4.361245113890837,64775ba188932c4e065e306a
16,64775bbd88932c4e065e30a2,20000,700000,19977,44385,4.443565641641043,64775ba188932c4e065e306a
17,64775bbe88932c4e065e30a4,20000,800000,19987,45390,4.541934234074284,64775ba188932c4e065e306a
18,64775bbe88932c4e065e30a6,20000,900000,19988,45414,4.544129878810199,64775ba188932c4e065e306a
19,64775bb988932c4e065e3094,20000,1000000,19990,46008,4.6031850825876095,64775ba188932c4e065e306a
20,64775bc088932c4e065e30aa,30000,100000,27033,37726,2.791097020906749,64775ba188932c4e065e306a
21,64775bc188932c4e065e30ac,30000,200000,29031,48472,3.339217127255952,64775ba188932c4e065e306a
22,64775bc288932c4e065e30ae,30000,300000,29577,54452,3.6820423036372625,64775ba188932c4e065e306a
23,64775bc288932c4e065e30b0,30000,400000,29716,56509,3.8031944519062058,64775ba188932c4e065e306a
24,64775bc388932c4e065e30b2,30000,500000,29844,60292,4.0404938167965145,64775ba188932c4e065e306a
25,64775bc588932c4e065e30b4,30000,600000,29905,62130,4.155048442569707,64775ba188932c4e065e306a
26,64775bc688932c4e065e30b6,30000,700000,29926,62900,4.2035813926893395,64775ba188932c4e065e306a
27,64775bc688932c4e065e30b8,30000,800000,29951,64326,4.2954087836668835,64775ba188932c4e065e306a
28,64775bc888932c4e065e30ba,30000,900000,29964,65213,4.352836003592232,64775ba188932c4e065e306a
29,64775bbf88932c4e065e30a8,30000,1000000,29957,64669,4.317373772936887,64775ba188932c4e065e306a
