,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
0,64808c5e00ab080fd8f10c96,10000,100000,10000,48157,9.631440000000001,64808c2a00ab080fd8f10c80
1,64808c5f00ab080fd8f10c98,10000,200000,10000,72537,14.507399999999999,64808c2a00ab080fd8f10c80
2,64808c6000ab080fd8f10c9a,10000,300000,10000,90601,18.1202,64808c2a00ab080fd8f10c80
3,64808c6100ab080fd8f10c9c,10000,400000,10000,106023,21.20456,64808c2a00ab080fd8f10c80
4,64808c6100ab080fd8f10c9e,10000,500000,10000,119369,23.873839999999994,64808c2a00ab080fd8f10c80
5,64808c6200ab080fd8f10ca0,10000,600000,10000,131943,26.38868,64808c2a00ab080fd8f10c80
6,64808c6300ab080fd8f10ca2,10000,700000,10000,142940,28.58808,64808c2a00ab080fd8f10c80
7,64808c6400ab080fd8f10ca4,10000,800000,10000,153155,30.631079999999997,64808c2a00ab080fd8f10c80
8,64808c6400ab080fd8f10ca6,10000,900000,10000,162202,32.440400000000004,64808c2a00ab080fd8f10c80
9,64808c5e00ab080fd8f10c94,10000,1000000,10000,172007,34.40144,64808c2a00ab080fd8f10c80
10,64808c6700ab080fd8f10caa,20000,100000,19993,61804,6.182603467001952,64808c2a00ab080fd8f10c80
11,64808c6700ab080fd8f10cac,20000,200000,20000,96562,9.6562,64808c2a00ab080fd8f10c80
12,64808c6800ab080fd8f10cae,20000,300000,20000,122916,12.29156,64808c2a00ab080fd8f10c80
13,64808c6900ab080fd8f10cb0,20000,400000,20000,144872,14.48716,64808c2a00ab080fd8f10c80
14,64808c6b00ab080fd8f10cb2,20000,500000,20000,164036,16.4036,64808c2a00ab080fd8f10c80
15,64808c6c00ab080fd8f10cb4,20000,600000,20000,181564,18.15642,64808c2a00ab080fd8f10c80
16,64808c6d00ab080fd8f10cb6,20000,700000,20000,197299,19.72992,64808c2a00ab080fd8f10c80
17,64808c6f00ab080fd8f10cb8,20000,800000,20000,211736,21.17364,64808c2a00ab080fd8f10c80
18,64808c7100ab080fd8f10cba,20000,900000,20000,226111,22.61114,64808c2a00ab080fd8f10c80
19,64808c6600ab080fd8f10ca8,20000,1000000,20000,239082,23.90824,64808c2a00ab080fd8f10c80
20,64808c7400ab080fd8f10cbe,30000,100000,29897,69703,4.662856724678251,64808c2a00ab080fd8f10c80
21,64808c7500ab080fd8f10cc0,30000,200000,29997,112299,7.487248375174363,64808c2a00ab080fd8f10c80
22,64808c7700ab080fd8f10cc2,30000,300000,30000,144940,9.662757825705302,64808c2a00ab080fd8f10c80
23,64808c7800ab080fd8f10cc4,30000,400000,30000,172256,11.483759999999998,64808c2a00ab080fd8f10c80
24,64808c7900ab080fd8f10cc6,30000,500000,30000,196085,13.07236,64808c2a00ab080fd8f10c80
25,64808c7b00ab080fd8f10cc8,30000,600000,30000,217465,14.497693333333334,64808c2a00ab080fd8f10c80
26,64808c7d00ab080fd8f10cca,30000,700000,30000,236913,15.794186666666667,64808c2a00ab080fd8f10c80
27,64808c7f00ab080fd8f10ccc,30000,800000,30000,255076,17.00505333333333,64808c2a00ab080fd8f10c80
28,64808c8100ab080fd8f10cce,30000,900000,30000,272118,18.1412,64808c2a00ab080fd8f10c80
29,64808c7300ab080fd8f10cbc,30000,1000000,30000,288384,19.225613333333335,64808c2a00ab080fd8f10c80
30,64808c8700ab080fd8f10cd2,40000,100000,39482,74678,3.7829182256821463,64808c2a00ab080fd8f10c80
31,64808c8900ab080fd8f10cd4,40000,200000,39985,123832,6.193943540311105,64808c2a00ab080fd8f10c80
32,64808c8b00ab080fd8f10cd6,40000,300000,39999,161597,8.080001574289359,64808c2a00ab080fd8f10c80
33,64808c8f00ab080fd8f10cd8,40000,400000,40000,193053,9.65263,64808c2a00ab080fd8f10c80
34,64808c9200ab080fd8f10cda,40000,500000,40000,220877,11.043830000000002,64808c2a00ab080fd8f10c80
35,64808c9600ab080fd8f10cdc,40000,600000,40000,245746,12.287279999999999,64808c2a00ab080fd8f10c80
36,64808c9a00ab080fd8f10cde,40000,700000,40000,268964,13.44821,64808c2a00ab080fd8f10c80
37,64808ca100ab080fd8f10ce0,40000,800000,40000,289874,14.49372,64808c2a00ab080fd8f10c80
38,64808ca700ab080fd8f10ce2,40000,900000,40000,309919,15.49594,64808c2a00ab080fd8f10c80
39,64808c8400ab080fd8f10cd0,40000,1000000,40000,328459,16.42297,64808c2a00ab080fd8f10c80
40,64808cae00ab080fd8f10ce6,50000,100000,48571,78361,3.226687975455904,64808c2a00ab080fd8f10c80
41,64808cb000ab080fd8f10ce8,50000,200000,49926,132258,5.298211173876096,64808c2a00ab080fd8f10c80
42,64808cb300ab080fd8f10cea,50000,300000,49998,174837,6.993743815022343,64808c2a00ab080fd8f10c80
43,64808cb600ab080fd8f10cec,50000,400000,49999,210409,8.416486775699008,64808c2a00ab080fd8f10c80
44,64808cb900ab080fd8f10cee,50000,500000,50000,241556,9.662224,64808c2a00ab080fd8f10c80
45,64808cbd00ab080fd8f10cf0,50000,600000,50000,269680,10.787208000000001,64808c2a00ab080fd8f10c80
46,64808cc000ab080fd8f10cf2,50000,700000,50000,295324,11.812944,64808c2a00ab080fd8f10c80
47,64808cc400ab080fd8f10cf4,50000,800000,50000,318977,12.759088000000002,64808c2a00ab080fd8f10c80
48,64808cc700ab080fd8f10cf6,50000,900000,50000,341039,13.641576,64808c2a00ab080fd8f10c80
49,64808cac00ab080fd8f10ce4,50000,1000000,50000,362521,14.500848,64808c2a00ab080fd8f10c80
50,64808ccf00ab080fd8f10cfa,60000,100000,57071,81027,2.839519915085602,64808c2a00ab080fd8f10c80
