,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
0,647bb65971dc6ba30fc0a8c1,10000,100000,10000,21402,4.280485416541654,647bb63671dc6ba30fc0a8a9
1,647bb65a71dc6ba30fc0a8c3,10000,200000,10000,24328,4.865679999999999,647bb63671dc6ba30fc0a8a9
2,647bb65b71dc6ba30fc0a8c5,10000,300000,10000,25578,5.11552,647bb63671dc6ba30fc0a8a9
3,647bb65b71dc6ba30fc0a8c7,10000,400000,10000,26318,5.26356,647bb63671dc6ba30fc0a8a9
4,647bb65c71dc6ba30fc0a8c9,10000,500000,10000,26784,5.35676,647bb63671dc6ba30fc0a8a9
5,647bb65c71dc6ba30fc0a8cb,10000,600000,10000,27159,5.4318,647bb63671dc6ba30fc0a8a9
6,647bb65d71dc6ba30fc0a8cd,10000,700000,10000,27402,5.48048,647bb63671dc6ba30fc0a8a9
7,647bb65d71dc6ba30fc0a8cf,10000,800000,10000,27599,5.519839999999999,647bb63671dc6ba30fc0a8a9
8,647bb65e71dc6ba30fc0a8d1,10000,900000,10000,27785,5.557080000000001,647bb63671dc6ba30fc0a8a9
9,647bb65971dc6ba30fc0a8bf,10000,1000000,10000,27883,5.57652,647bb63671dc6ba30fc0a8a9
10,647bb65f71dc6ba30fc0a8d5,20000,100000,19962,35021,3.508771517793174,647bb63671dc6ba30fc0a8a9
11,647bb66071dc6ba30fc0a8d7,20000,200000,19999,42795,4.279839259053702,647bb63671dc6ba30fc0a8a9
12,647bb66171dc6ba30fc0a8d9,20000,300000,20000,46497,4.649706490324516,647bb63671dc6ba30fc0a8a9
13,647bb66271dc6ba30fc0a8db,20000,400000,20000,48630,4.863,647bb63671dc6ba30fc0a8a9
14,647bb66271dc6ba30fc0a8dd,20000,500000,20000,50169,5.016970260513026,647bb63671dc6ba30fc0a8a9
15,647bb66371dc6ba30fc0a8df,20000,600000,20000,51173,5.11726,647bb63671dc6ba30fc0a8a9
16,647bb66471dc6ba30fc0a8e1,20000,700000,20000,52001,5.20014,647bb63671dc6ba30fc0a8a9
17,647bb66471dc6ba30fc0a8e3,20000,800000,20000,52646,5.26462,647bb63671dc6ba30fc0a8a9
18,647bb66571dc6ba30fc0a8e5,20000,900000,20000,53117,5.3117,647bb63671dc6ba30fc0a8a9
19,647bb65f71dc6ba30fc0a8d3,20000,1000000,20000,53639,5.363919999999999,647bb63671dc6ba30fc0a8a9
20,647bb66771dc6ba30fc0a8e9,30000,100000,29719,44584,3.00040629534364,647bb63671dc6ba30fc0a8a9
21,647bb66771dc6ba30fc0a8eb,30000,200000,29981,57760,3.85318500551199,647bb63671dc6ba30fc0a8a9
22,647bb66871dc6ba30fc0a8ed,30000,300000,29999,64267,4.284639817067468,647bb63671dc6ba30fc0a8a9
23,647bb66971dc6ba30fc0a8ef,30000,400000,29999,68278,4.5520182417369925,647bb63671dc6ba30fc0a8a9
24,647bb66a71dc6ba30fc0a8f1,30000,500000,29999,70979,4.732077762917778,647bb63671dc6ba30fc0a8a9
25,647bb66c71dc6ba30fc0a8f3,30000,600000,30000,73047,4.8698,647bb63671dc6ba30fc0a8a9
26,647bb66d71dc6ba30fc0a8f5,30000,700000,30000,74647,4.97644,647bb63671dc6ba30fc0a8a9
27,647bb66f71dc6ba30fc0a8f7,30000,800000,30000,75767,5.05116,647bb63671dc6ba30fc0a8a9
28,647bb67071dc6ba30fc0a8f9,30000,900000,30000,76854,5.123586666666666,647bb63671dc6ba30fc0a8a9
29,647bb66671dc6ba30fc0a8e7,30000,1000000,30000,77640,5.176026666666667,647bb63671dc6ba30fc0a8a9
30,647bb67271dc6ba30fc0a8fd,40000,100000,39111,51773,2.6475219478610703,647bb63671dc6ba30fc0a8a9
31,647bb67471dc6ba30fc0a8ff,40000,200000,39924,70033,3.508298510197231,647bb63671dc6ba30fc0a8a9
32,647bb67571dc6ba30fc0a901,40000,300000,39987,79769,3.989687086790963,647bb63671dc6ba30fc0a8a9
33,647bb67671dc6ba30fc0a903,40000,400000,39998,85753,4.287865816720582,647bb63671dc6ba30fc0a8a9
34,647bb67771dc6ba30fc0a905,40000,500000,39999,89877,4.493937395558395,647bb63671dc6ba30fc0a8a9
35,647bb67971dc6ba30fc0a907,40000,600000,40000,92909,4.645506404410111,647bb63671dc6ba30fc0a8a9
36,647bb67b71dc6ba30fc0a909,40000,700000,40000,95493,4.7746699999999995,647bb63671dc6ba30fc0a8a9
37,647bb67c71dc6ba30fc0a90b,40000,800000,40000,97367,4.86834,647bb63671dc6ba30fc0a8a9
38,647bb67c71dc6ba30fc0a90d,40000,900000,40000,98865,4.943294723618091,647bb63671dc6ba30fc0a8a9
39,647bb67171dc6ba30fc0a8fb,40000,1000000,40000,100334,5.01672,647bb63671dc6ba30fc0a8a9
40,647bb67f71dc6ba30fc0a911,50000,100000,47922,57224,2.388200517166114,647bb63671dc6ba30fc0a8a9
41,647bb68071dc6ba30fc0a913,50000,200000,49765,80327,3.2282871719181996,647bb63671dc6ba30fc0a8a9
42,647bb68271dc6ba30fc0a915,50000,300000,49955,93114,3.727937270981579,647bb63671dc6ba30fc0a8a9
43,647bb68471dc6ba30fc0a917,50000,400000,49988,101214,4.049580156967748,647bb63671dc6ba30fc0a8a9
44,647bb68571dc6ba30fc0a919,50000,500000,49995,107213,4.288906537648723,647bb63671dc6ba30fc0a8a9
45,647bb68771dc6ba30fc0a91b,50000,600000,49999,111386,4.455495298705975,647bb63671dc6ba30fc0a8a9
46,647bb68971dc6ba30fc0a91d,50000,700000,50000,114772,4.590896,647bb63671dc6ba30fc0a8a9
47,647bb68a71dc6ba30fc0a91f,50000,800000,50000,117587,4.703498797495951,647bb63671dc6ba30fc0a8a9
48,647bb68c71dc6ba30fc0a921,50000,900000,50000,119903,4.796136,647bb63671dc6ba30fc0a8a9
49,647bb67e71dc6ba30fc0a90f,50000,1000000,50000,121659,4.86636348198964,647bb63671dc6ba30fc0a8a9
50,647bb68e71dc6ba30fc0a925,60000,100000,56128,61642,2.1964886037188913,647bb63671dc6ba30fc0a8a9
51,647bb68f71dc6ba30fc0a927,60000,200000,59471,89310,3.0034838194662186,647bb63671dc6ba30fc0a8a9
52,647bb69071dc6ba30fc0a929,60000,300000,59888,104995,3.506415154153026,647bb63671dc6ba30fc0a8a9
53,647bb69271dc6ba30fc0a92b,60000,400000,59968,115488,3.8516861694508764,647bb63671dc6ba30fc0a8a9
54,647bb69471dc6ba30fc0a92d,60000,500000,59991,122940,4.098621472889968,647bb63671dc6ba30fc0a8a9
55,647bb69671dc6ba30fc0a92f,60000,600000,59996,128459,4.28225198820016,647bb63671dc6ba30fc0a8a9
56,647bb69871dc6ba30fc0a931,60000,700000,59998,132877,4.429394316683111,647bb63671dc6ba30fc0a8a9
57,647bb69a71dc6ba30fc0a933,60000,800000,60000,136456,4.548561815030252,647bb63671dc6ba30fc0a8a9
58,647bb69c71dc6ba30fc0a935,60000,900000,60000,139468,4.648942155702595,647bb63671dc6ba30fc0a8a9
59,647bb68d71dc6ba30fc0a923,60000,1000000,60000,141986,4.73286,647bb63671dc6ba30fc0a8a9
60,647bb6a071dc6ba30fc0a939,70000,100000,63698,65210,2.04749520882257,647bb63671dc6ba30fc0a8a9
61,647bb6a371dc6ba30fc0a93b,70000,200000,68959,96757,2.8062232152011757,647bb63671dc6ba30fc0a8a9
62,647bb6a571dc6ba30fc0a93d,70000,300000,69755,115771,3.319353876978794,647bb63671dc6ba30fc0a8a9
63,647bb6a871dc6ba30fc0a93f,70000,400000,69924,128276,3.6689853983281226,647bb63671dc6ba30fc0a8a9
64,647bb6ab71dc6ba30fc0a941,70000,500000,69973,137487,3.92970489197772,647bb63671dc6ba30fc0a8a9
65,647bb6ae71dc6ba30fc0a943,70000,600000,69991,144546,4.130410699759571,647bb63671dc6ba30fc0a8a9
66,647bb6b171dc6ba30fc0a945,70000,700000,69995,149958,4.284856276206709,647bb63671dc6ba30fc0a8a9
67,647bb6b471dc6ba30fc0a947,70000,800000,69997,154362,4.4105124581617305,647bb63671dc6ba30fc0a8a9
68,647bb6b671dc6ba30fc0a949,70000,900000,69999,158203,4.520150331255688,647bb63671dc6ba30fc0a8a9
69,647bb69f71dc6ba30fc0a937,70000,1000000,70000,161336,4.609626325355668,647bb63671dc6ba30fc0a8a9
70,647bb6bb71dc6ba30fc0a94d,80000,100000,70619,68150,1.9300648615419032,647bb63671dc6ba30fc0a8a9
71,647bb6be71dc6ba30fc0a94f,80000,200000,78192,103528,2.6480487970808215,647bb63671dc6ba30fc0a8a9
72,647bb6c171dc6ba30fc0a951,80000,300000,79536,125205,3.1483876225260055,647bb63671dc6ba30fc0a8a9
73,647bb6c371dc6ba30fc0a953,80000,400000,79857,140077,3.5082034426664093,647bb63671dc6ba30fc0a8a9
74,647bb6c671dc6ba30fc0a955,80000,500000,79942,150846,3.773900274809133,647bb63671dc6ba30fc0a8a9
75,647bb6c971dc6ba30fc0a957,80000,600000,79972,159389,3.986110038198664,647bb63671dc6ba30fc0a8a9
76,647bb6cd71dc6ba30fc0a959,80000,700000,79988,165997,4.1505423351259285,647bb63671dc6ba30fc0a8a9
77,647bb6cf71dc6ba30fc0a95b,80000,800000,79994,171370,4.284571158674349,647bb63671dc6ba30fc0a8a9
78,647bb6d471dc6ba30fc0a95d,80000,900000,79996,175878,4.397142829740167,647bb63671dc6ba30fc0a8a9
79,647bb6b971dc6ba30fc0a94b,80000,1000000,79997,179713,4.492972225518867,647bb63671dc6ba30fc0a8a9
80,647bb6d871dc6ba30fc0a961,90000,100000,76998,70676,1.8357930683006685,647bb63671dc6ba30fc0a8a9
81,647bb6db71dc6ba30fc0a963,90000,200000,87187,109183,2.5045705767294377,647bb63671dc6ba30fc0a8a9
82,647bb6dd71dc6ba30fc0a965,90000,300000,89213,133773,2.998966583428587,647bb63671dc6ba30fc0a8a9
83,647bb6e171dc6ba30fc0a967,90000,400000,89725,151000,3.365859511381712,647bb63671dc6ba30fc0a8a9
84,647bb6e371dc6ba30fc0a969,90000,500000,89894,163439,3.6362432020064857,647bb63671dc6ba30fc0a8a9
85,647bb6e871dc6ba30fc0a96b,90000,600000,89951,173181,3.850545690536375,647bb63671dc6ba30fc0a8a9
86,647bb6ea71dc6ba30fc0a96d,90000,700000,89977,181095,4.025344346278025,647bb63671dc6ba30fc0a8a9
87,647bb6ee71dc6ba30fc0a96f,90000,800000,89987,187352,4.163984084773995,647bb63671dc6ba30fc0a8a9
88,647bb6f271dc6ba30fc0a971,90000,900000,89995,192845,4.285697188774134,647bb63671dc6ba30fc0a8a9
89,647bb6d671dc6ba30fc0a95f,90000,1000000,89997,197295,4.384475047930316,647bb63671dc6ba30fc0a8a9
90,647bb63a71dc6ba30fc0a8ad,100000,100000,82919,72731,1.7542494851672892,647bb63671dc6ba30fc0a8a9
91,647bb63c71dc6ba30fc0a8af,100000,200000,95832,114510,2.3898036498451147,647bb63671dc6ba30fc0a8a9
92,647bb63e71dc6ba30fc0a8b1,100000,300000,98710,141665,2.870319911286569,647bb63671dc6ba30fc0a8a9
93,647bb64171dc6ba30fc0a8b3,100000,400000,99562,160759,3.229335015308942,647bb63671dc6ba30fc0a8a9
94,647bb64871dc6ba30fc0a8b5,100000,500000,99818,174906,3.504512098222178,647bb63671dc6ba30fc0a8a9
95,647bb64f71dc6ba30fc0a8b7,100000,600000,99919,186213,3.727297860688116,647bb63671dc6ba30fc0a8a9
